Data File Name,Scale Name,Column Name,transform,reverse,min,max,BFNE_Mean,BFNE-S_Mean
TDS2_Session_2_B,BFNE,BFNE_1,0,0,,,1,1
TDS2_Session_2_B,BFNE,BFNE_2,0,1,0,4,1,0
TDS2_Session_2_B,BFNE,BFNE_3,0,0,,,1,1
TDS2_Session_2_B,BFNE,BFNE_4,0,1,0,4,1,0
TDS2_Session_2_B,BFNE,BFNE_5,0,0,,,1,1
TDS2_Session_2_B,BFNE,BFNE_6,0,0,,,1,1
TDS2_Session_2_B,BFNE,BFNE_7,0,1,0,4,1,0
TDS2_Session_2_B,BFNE,BFNE_8,0,0,,,1,1
TDS2_Session_2_B,BFNE,BFNE_9,0,0,,,1,1
TDS2_Session_2_B,BFNE,BFNE_10,0,1,0,4,1,0
TDS2_Session_2_B,BFNE,BFNE_11,0,0,,,1,1
TDS2_Session_2_B,BFNE,BFNE_12,0,0,,,1,1