Data File Name,Scale Name,Column Name,transform,reverse,min,max,CES_DC_Mean
TDS2_Session_2_B,CES-DC,CES_DC_1,0,0,,,1
TDS2_Session_2_B,CES-DC,CES_DC_2,0,0,,,1
TDS2_Session_2_B,CES-DC,CES_DC_3,0,0,,,1
TDS2_Session_2_B,CES-DC,CES_DC_4,0,1,0,3,1
TDS2_Session_2_B,CES-DC,CES_DC_5,0,0,,,1
TDS2_Session_2_B,CES-DC,CES_DC_6,0,0,,,1
TDS2_Session_2_B,CES-DC,CES_DC_7,0,0,,,1
TDS2_Session_2_B,CES-DC,CES_DC_8,0,1,0,3,1
TDS2_Session_2_B,CES-DC,CES_DC_9,0,0,,,1
TDS2_Session_2_B,CES-DC,CES_DC_10,0,0,,,1
TDS2_Session_2_B,CES-DC,CES_DC_11,0,0,,,1
TDS2_Session_2_B,CES-DC,CES_DC_12,0,1,0,3,1
TDS2_Session_2_B,CES-DC,CES_DC_13,0,0,,,1
TDS2_Session_2_B,CES-DC,CES_DC_14,0,0,,,1
TDS2_Session_2_B,CES-DC,CES_DC_15,0,0,,,1
TDS2_Session_2_B,CES-DC,CES_DC_16,0,1,0,3,1
TDS2_Session_2_B,CES-DC,CES_DC_17,0,0,,,1
TDS2_Session_2_B,CES-DC,CES_DC_18,0,0,,,1
TDS2_Session_2_B,CES-DC,CES_DC_19,0,0,,,1
TDS2_Session_2_B,CES-DC,CES_DC_20,0,0,,,1