Data File Name,Scale Name,Column Name,transform,reverse,min,max,Overt_Victim,Overt_Aggressor,Relational_Victim,Relational_Aggressor,Prosocial_to_me,Prosocial_by_me
TDS2_Session_1,PEQ-R,PEQ_1,,,,,0,0,0,1,0,0
TDS2_Session_2,PEQ-R,PEQ_2,,,,,0,0,1,0,0,0
TDS2_Session_3,PEQ-R,PEQ_3,,,,,0,1,0,0,0,0
TDS2_Session_4,PEQ-R,PEQ_4,,,,,1,0,0,0,0,0
TDS2_Session_5,PEQ-R,PEQ_5,,1,1,5,0,0,0,0,0,1
TDS2_Session_6,PEQ-R,PEQ_6,,1,1,5,0,0,0,0,1,0
TDS2_Session_7,PEQ-R,PEQ_7,,,,,0,0,0,1,0,0
TDS2_Session_8,PEQ-R,PEQ_8,,,,,0,0,1,0,0,0
TDS2_Session_9,PEQ-R,PEQ_9,,,,,0,0,0,1,0,0
TDS2_Session_10,PEQ-R,PEQ_10,,,,,0,0,1,0,0,0
TDS2_Session_11,PEQ-R,PEQ_11,,1,1,5,0,0,0,0,0,1
TDS2_Session_12,PEQ-R,PEQ_12,,1,1,5,0,0,0,0,1,0
TDS2_Session_13,PEQ-R,PEQ_13,,,,,0,0,0,1,0,0
TDS2_Session_14,PEQ-R,PEQ_14,,,,,0,0,1,0,0,0
TDS2_Session_15,PEQ-R,PEQ_15,,,,,0,0,0,1,0,0
TDS2_Session_16,PEQ-R,PEQ_16,,,,,0,0,1,0,0,0
TDS2_Session_17,PEQ-R,PEQ_17,,,,,0,0,0,1,0,0
TDS2_Session_18,PEQ-R,PEQ_18,,,,,0,0,1,0,0,0
TDS2_Session_19,PEQ-R,PEQ_19,,1,1,5,0,0,0,0,0,1
TDS2_Session_20,PEQ-R,PEQ_20,,1,1,5,0,0,0,0,1,0
TDS2_Session_21,PEQ-R,PEQ_21,,,,,0,0,0,1,0,0
TDS2_Session_22,PEQ-R,PEQ_22,,,,,0,0,1,0,0,0
TDS2_Session_23,PEQ-R,PEQ_23,,,,,0,1,0,0,0,0
TDS2_Session_24,PEQ-R,PEQ_24,,,,,1,0,0,0,0,0
TDS2_Session_25,PEQ-R,PEQ_25,,,,,0,0,0,1,0,0
TDS2_Session_26,PEQ-R,PEQ_26,,,,,0,0,1,0,0,0
TDS2_Session_27,PEQ-R,PEQ_27,,,,,0,0,0,1,0,0
TDS2_Session_28,PEQ-R,PEQ_28,,,,,0,0,1,0,0,0
TDS2_Session_29,PEQ-R,PEQ_29,,1,1,5,0,0,0,0,0,1
TDS2_Session_30,PEQ-R,PEQ_30,,1,1,5,0,0,0,0,1,0
TDS2_Session_31,PEQ-R,PEQ_31,,,,,0,1,0,0,0,0
TDS2_Session_32,PEQ-R,PEQ_32,,,,,1,0,0,0,0,0
TDS2_Session_33,PEQ-R,PEQ_33,,,,,0,0,0,1,0,0
TDS2_Session_34,PEQ-R,PEQ_34,,,,,0,0,1,0,0,0
TDS2_Session_35,PEQ-R,PEQ_35,,1,1,5,0,0,0,0,0,1
TDS2_Session_36,PEQ-R,PEQ_36,,1,1,5,0,0,0,0,1,0