"","subject.name","condition","n_good.go","n_bad.go","n_good.stop","n_bad.stop"
"1",101,1,1,4,12,15
"2",101,2,5,2,17,14
"3",101,3,7,6,13,12
"4",101,4,10,6,12,9
"5",102,1,9,11,8,9
"6",102,2,6,11,7,12
"7",102,3,9,12,7,11
"8",102,4,13,10,9,7
"9",103,1,3,5,15,17
"10",103,2,10,12,8,10
"11",104,1,13,13,1,1
"12",104,2,9,8,10,8
"13",104,3,2,7,10,15
"14",104,4,6,11,9,11
"15",105,1,12,11,6,8
"16",105,2,12,12,8,8
"17",105,3,13,8,12,4
"18",105,4,12,11,9,6
"19",106,1,0,0,20,18
"20",106,2,9,3,17,10
"21",106,3,6,6,13,14
"22",106,4,7,6,13,10
"23",107,1,10,8,12,7
"24",107,2,13,9,8,6
"25",107,3,13,13,7,7
"26",107,4,14,13,7,5
"27",108,1,9,9,12,9
"28",108,2,7,8,12,13
"29",108,3,10,9,11,10
"30",108,4,11,8,12,8
"31",109,1,6,8,10,9
"32",109,2,5,10,10,14
"33",109,3,5,4,15,13
"34",109,4,7,6,14,13
"35",110,1,9,7,14,10
"36",110,2,10,9,10,9
"37",110,3,10,7,13,10
"38",110,4,11,8,12,9
"39",111,1,8,14,6,12
"40",111,2,11,7,12,9
"41",111,3,7,10,11,12
"42",111,4,10,10,10,9
"43",112,1,7,6,14,12
"44",112,2,4,6,15,15
"45",112,3,5,5,14,13
"46",112,4,5,8,12,14
"47",113,1,12,8,12,7
"48",113,2,9,7,12,11
"49",113,3,10,8,11,10
"50",113,4,8,8,12,12
"51",114,1,9,5,15,11
"52",114,2,3,7,13,17
"53",114,3,8,8,13,11
"54",114,4,11,6,14,9
"55",115,1,5,7,12,14
"56",115,2,9,6,12,11
"57",115,3,8,6,15,11
"58",115,4,5,11,9,15
"59",116,1,12,10,9,8
"60",116,2,11,13,7,9
"61",116,3,14,10,10,6
"62",116,4,9,12,9,10
"63",117,1,11,9,11,8
"64",117,2,10,9,9,7
"65",117,3,9,13,7,11
"66",117,4,10,13,7,10
"67",119,1,7,12,7,11
"68",119,2,11,14,6,8
"69",119,3,12,18,3,6
"70",119,4,15,10,10,4
"71",120,1,9,8,10,9
"72",120,2,10,13,6,7
"73",120,3,11,6,12,9
"74",120,4,8,7,13,11
"75",121,1,10,6,10,7
"76",121,2,1,3,17,19
"77",121,3,9,8,12,11
"78",121,4,6,5,15,12
"79",122,1,1,4,14,18
"80",122,2,3,2,19,13
"81",122,3,3,3,16,16
"82",122,4,3,5,15,17
"83",124,1,7,7,12,10
"84",124,2,5,8,11,14
"85",124,3,5,7,14,14
"86",124,4,5,5,15,15
"87",125,1,1,4,14,19
"88",125,2,3,2,19,14
"89",125,3,8,3,17,11
"90",125,4,3,6,14,15
"91",126,1,4,8,10,15
"92",126,2,7,7,13,12
"93",126,3,8,6,13,11
"94",126,4,9,5,15,11
"95",127,1,0,0,10,5
"96",127,2,5,0,19,14
"97",127,3,0,0,20,19
"98",127,4,4,1,18,15
"99",128,1,8,6,13,11
"100",128,2,6,9,11,13
"101",128,3,10,8,12,10
"102",128,4,7,10,10,13
"103",129,1,9,10,8,10
"104",129,2,11,11,7,7
"105",129,3,11,8,11,8
"106",129,4,10,10,11,9
"107",130,1,8,6,14,12
"108",130,2,3,5,16,14
"109",130,3,7,7,13,13
"110",130,4,5,9,11,15
"111",131,1,9,4,15,11
"112",131,2,7,9,11,13
"113",131,3,7,9,11,13
"114",131,4,7,10,11,12
"115",132,1,7,8,12,12
"116",132,2,6,5,14,13
"117",132,3,6,6,15,13
"118",132,4,9,9,11,11
"119",133,1,11,9,11,9
"120",133,2,7,15,6,12
"121",133,3,10,8,12,9
"122",133,4,8,12,8,12
"123",134,1,12,15,5,6
"124",134,2,5,4,16,13
"125",134,3,11,8,9,7
"126",134,4,10,11,9,7
"127",135,1,3,3,11,11
"128",135,2,0,1,19,18
"129",135,3,3,1,17,16
"130",135,4,1,2,18,17
"131",136,1,8,7,12,11
"132",136,2,12,4,15,7
"133",136,3,11,9,11,8
"134",136,4,6,11,10,12
"135",137,1,4,3,16,15
"136",137,2,0,2,18,19
"137",137,3,2,4,16,17
"138",137,4,3,7,14,15
"139",138,1,13,7,12,6
"140",138,2,8,5,12,11
"141",138,3,9,4,16,10
"142",138,4,6,8,3,3
"143",139,1,9,5,13,7
"144",139,2,6,8,11,14
"145",139,3,3,7,13,17
"146",139,4,2,4,17,17
"147",140,1,5,2,18,15
"148",140,2,1,3,18,18
"149",140,3,1,4,16,19
"150",140,4,12,13,5,8
"151",141,1,8,9,11,12
"152",141,2,9,7,13,11
"153",141,3,5,7,14,14
"154",141,4,7,3,17,13
"155",142,1,10,7,13,10
"156",142,2,14,13,7,5
"157",142,3,5,7,14,14
"158",142,4,15,13,7,5
"159",143,1,6,9,11,14
"160",143,2,9,6,14,11
"161",143,3,9,10,10,11
"162",143,4,8,11,10,10
"163",144,1,11,9,9,8
"164",144,2,11,8,11,9
"165",144,3,5,9,11,13
"166",144,4,8,10,10,10
"167",145,1,9,10,7,7
"168",145,2,9,10,7,10
"169",145,3,15,14,4,4
"170",145,4,16,12,6,2
"171",146,1,6,7,12,14
"172",146,2,7,4,16,13
"173",146,3,6,7,14,13
"174",146,4,9,5,15,11
"175",150,1,11,8,11,7
"176",150,2,5,5,13,15
"177",150,3,5,10,9,14
"178",150,4,7,8,12,13
"179",151,1,9,9,11,11
"180",151,2,3,9,12,16
"181",151,3,5,7,13,14
"182",151,4,6,6,14,14
"183",152,1,11,7,9,6
"184",152,2,9,14,6,9
"185",152,3,8,11,9,12
"186",152,4,12,10,10,7
"187",155,1,7,7,12,11
"188",155,2,4,2,18,14
"189",155,3,9,5,15,10
"190",155,4,6,2,19,12
"191",156,1,9,6,13,8
"192",156,2,7,9,9,10
"193",156,3,6,4,16,11
"194",156,4,3,2,15,13
"195",157,1,8,10,10,9
"196",157,2,7,11,10,11
"197",157,3,9,10,10,11
"198",157,4,15,15,5,5
"199",158,1,9,6,14,9
"200",158,2,9,7,13,11
"201",158,3,8,4,16,12
"202",158,4,6,7,14,13
"203",159,1,10,14,5,10
"204",159,2,14,11,6,5
"205",159,3,16,15,6,3
"206",159,4,13,18,2,5
"207",160,1,10,11,7,8
"208",160,2,13,13,8,6
"209",160,3,7,14,5,11
"210",160,4,14,13,4,5
"211",161,1,9,13,7,10
"212",161,2,7,15,5,13
"213",161,3,8,11,10,11
"214",161,4,9,15,5,11
"215",162,1,9,8,11,9
"216",162,2,8,7,13,12
"217",162,3,5,9,12,14
"218",162,4,8,8,12,12
"219",163,1,10,5,15,10
"220",163,2,3,6,14,17
"221",163,3,8,8,12,12
"222",163,4,8,8,13,11
"223",164,1,10,11,8,10
"224",164,2,8,6,14,11
"225",164,3,7,8,12,12
"226",164,4,8,10,10,12
"227",165,1,5,8,12,13
"228",165,2,6,4,16,14
"229",165,3,6,6,14,14
"230",165,4,9,4,17,10
"231",167,1,11,7,13,8
"232",167,2,5,4,16,15
"233",167,3,3,7,14,16
"234",167,4,9,5,15,11
"235",168,1,6,7,12,11
"236",168,2,2,2,18,18
"237",168,3,6,4,16,14
"238",168,4,10,8,11,10
"239",169,1,8,11,6,7
"240",169,2,17,15,5,3
"241",169,3,15,11,8,4
"242",169,4,6,11,7,8
"243",170,1,5,6,14,13
"244",170,2,6,9,10,14
"245",170,3,5,9,10,13
"246",170,4,6,5,15,14
"247",171,1,11,6,11,9
"248",171,2,10,10,8,8
"249",171,3,13,13,6,7
"250",171,4,10,15,5,8
"251",172,1,4,8,12,14
"252",172,2,6,6,15,12
"253",172,3,6,7,11,14
"254",172,4,9,11,9,9
"255",173,1,6,8,12,14
"256",173,2,9,6,14,11
"257",173,3,11,5,16,8
"258",173,4,16,10,10,4
"259",174,1,10,10,10,10
"260",174,2,11,9,11,9
"261",174,3,13,12,8,7
"262",174,4,11,12,9,8
"263",175,1,0,8,12,14
"264",175,2,6,5,13,12
"265",175,3,10,8,9,7
"266",175,4,10,9,10,7
"267",176,1,10,11,9,10
"268",176,2,5,5,15,15
"269",176,3,3,11,10,16
"270",176,4,7,8,12,13
"271",177,1,6,10,7,9
"272",177,2,8,10,10,11
"273",177,3,9,4,15,10
"274",177,4,9,6,13,10
"275",178,1,9,9,9,9
"276",178,2,7,13,4,13
"277",178,3,14,13,5,4
"278",178,4,8,10,8,9
"279",179,1,8,10,9,10
"280",179,2,8,9,10,9
"281",179,3,8,7,12,12
"282",179,4,11,10,10,9
"283",181,1,8,7,12,10
"284",181,2,10,7,12,8
"285",181,3,9,9,11,11
"286",181,4,9,8,12,11
"287",182,1,9,5,14,11
"288",182,2,2,3,17,16
"289",182,3,6,6,14,14
"290",182,4,4,8,12,16
"291",183,1,8,7,9,9
"292",183,2,7,8,13,12
"293",183,3,10,8,12,9
"294",183,4,11,8,12,9
"295",184,1,8,8,10,11
"296",184,2,7,10,10,12
"297",184,3,8,12,8,11
"298",184,4,9,6,13,10
"299",185,1,7,10,8,10
"300",185,2,8,7,14,11
"301",185,3,8,11,9,12
"302",185,4,9,13,8,9
"303",186,1,9,13,7,8
"304",186,2,11,11,9,8
"305",186,3,10,10,10,9
"306",186,4,11,10,10,7
"307",187,1,13,8,12,6
"308",187,2,9,10,9,11
"309",187,3,9,10,8,10
"310",187,4,12,12,9,7
"311",188,1,2,3,16,16
"312",188,2,2,2,16,18
"313",188,3,6,7,14,13
"314",188,4,8,4,16,12
"315",189,1,10,5,13,8
"316",189,2,5,4,12,12
"317",189,3,7,2,16,11
"318",190,1,10,9,9,7
"319",190,2,5,3,17,12
"320",190,3,6,7,12,14
"321",190,4,12,9,7,7
"322",191,1,10,10,9,7
"323",191,2,14,12,9,5
"324",191,3,11,11,9,8
"325",191,4,11,10,10,9
"326",192,1,5,11,9,14
"327",192,2,2,6,14,18
"328",192,3,8,6,15,11
"329",192,4,16,17,3,4
"330",193,1,12,6,14,8
"331",193,2,8,5,15,11
"332",193,3,8,7,13,10
"333",193,4,10,5,14,10
"334",194,1,7,9,10,13
"335",194,2,6,8,13,12
"336",194,3,6,8,12,14
"337",194,4,7,9,11,12
"338",195,1,1,5,9,11
"339",195,2,3,9,11,16
"340",195,3,4,3,16,15
"341",195,4,3,7,14,16
"342",196,1,12,11,9,7
"343",196,2,11,13,7,8
"344",196,3,14,11,8,6
"345",196,4,14,17,3,5
"346",197,1,10,8,11,9
"347",197,2,4,8,9,12
"348",197,3,11,11,8,6
"349",197,4,10,15,5,8
"350",301,1,8,10,9,11
"351",301,2,3,5,15,17
"352",301,3,5,5,16,13
"353",301,4,3,0,20,17
"354",302,1,6,11,7,12
"355",302,2,5,8,11,15
"356",302,3,10,12,7,9
"357",302,4,10,10,11,9
"358",303,1,8,7,11,11
"359",303,2,6,3,17,13
"360",303,3,6,8,12,12
"361",303,4,4,8,12,14
"362",304,1,5,9,8,13
"363",304,2,5,5,12,14
"364",304,3,3,8,10,16
"365",304,4,0,2,16,17
"366",305,1,10,10,11,9
"367",305,2,16,13,7,4
"368",305,3,8,10,10,12
"369",305,4,6,8,2,4
"370",306,1,10,11,8,9
"371",306,2,6,13,8,12
"372",306,3,7,8,11,12
"373",306,4,7,6,13,13
"374",307,1,10,10,10,9
"375",307,2,10,11,10,9
"376",307,3,9,13,7,10
"377",307,4,9,13,7,11
"378",308,1,4,12,8,14
"379",308,2,7,2,18,12
"380",308,3,3,9,11,16
"381",308,4,6,4,16,13
"382",309,1,4,10,7,10
"383",309,2,11,11,7,9
"384",309,3,11,11,8,8
"385",309,4,13,13,6,5
"386",310,1,8,9,11,10
"387",310,2,5,6,12,14
"388",310,3,3,3,16,15
"389",310,4,4,7,11,16
"390",312,1,6,10,11,13
"391",312,2,7,3,17,13
"392",312,3,10,8,12,10
"393",312,4,9,9,11,10
"394",313,1,8,7,11,8
"395",313,2,10,5,15,10
"396",313,3,9,7,13,11
"397",313,4,7,6,14,12
"398",314,1,6,2,12,9
"399",314,2,1,7,14,16
"400",314,3,6,3,17,13
"401",314,4,1,3,17,19
"402",315,1,0,1,19,18
"403",315,2,3,1,16,16
"404",315,3,0,3,16,20
"405",316,1,7,7,12,9
"406",316,2,2,4,10,14
"407",316,3,1,4,16,17
"408",316,4,2,1,19,18
"409",317,1,8,8,11,6
"410",317,2,7,7,8,9
"411",317,3,8,8,11,10
"412",317,4,5,7,11,14
"413",318,1,7,11,9,9
"414",318,2,13,9,10,7
"415",318,3,11,9,10,8
"416",318,4,14,10,8,4
"417",319,1,9,7,10,6
"418",319,2,4,7,13,15
"419",319,3,2,6,15,17
"420",319,4,4,1,8,5
"421",320,1,11,10,9,8
"422",320,2,8,12,7,10
"423",320,3,8,10,11,10
"424",320,4,11,6,13,8
"425",321,1,0,0,12,17
"426",321,2,5,9,9,12
"427",321,3,10,6,14,9
"428",321,4,8,8,11,11
"429",322,1,7,3,17,11
"430",322,2,7,8,12,12
"431",322,3,8,9,12,11
"432",322,4,4,4,16,16
"433",323,1,2,3,5,4
"434",323,2,9,9,8,9
"435",323,3,11,8,12,8
"436",323,4,9,11,10,9
"437",324,1,9,10,10,11
"438",324,2,7,7,11,11
"439",324,3,9,12,7,10
"440",324,4,11,5,15,9
"441",325,1,9,8,12,9
"442",325,2,4,4,17,14
"443",325,3,6,6,14,14
"444",325,4,14,12,8,6
"445",326,1,12,12,6,7
"446",326,2,12,10,10,6
"447",326,3,16,13,7,4
"448",326,4,12,12,8,6
"449",327,1,7,5,14,12
"450",327,2,9,6,14,10
"451",327,3,10,8,11,9
"452",327,4,8,5,15,11
"453",328,1,10,11,9,9
"454",328,2,12,10,10,8
"455",328,3,12,14,6,8
"456",328,4,10,11,10,9
"457",329,1,9,5,8,9
"458",329,2,3,6,14,17
"459",329,3,7,10,9,11
"460",329,4,3,6,12,17
"461",330,1,13,7,13,7
"462",330,2,8,13,7,12
"463",330,3,15,13,6,5
"464",330,4,10,17,4,9
"465",331,1,6,6,6,12
"466",331,2,8,9,9,11
"467",331,3,10,13,8,8
"468",331,4,12,9,11,8
"469",332,1,14,7,5,3
"470",332,2,9,12,6,5
"471",332,3,9,7,11,9
"472",332,4,6,10,10,12
"473",333,1,13,12,8,5
"474",333,2,10,15,5,9
"475",333,3,10,11,8,10
"476",333,4,9,5,15,11
"477",334,1,9,9,11,8
"478",334,2,7,7,10,12
"479",334,3,5,10,10,15
"480",334,4,9,11,9,10
"481",335,1,8,13,7,12
"482",335,2,8,10,10,11
"483",335,3,8,12,8,11
"484",335,4,5,6,14,15
"485",336,1,7,10,10,12
"486",336,2,9,8,13,9
"487",336,3,7,10,10,11
"488",336,4,6,9,11,12
"489",337,1,9,13,8,10
"490",337,2,10,9,11,10
"491",337,3,7,10,9,11
"492",337,4,11,8,11,8
"493",339,1,5,10,10,13
"494",340,1,10,14,6,9
"495",340,2,8,7,13,11
"496",340,3,10,9,12,9
"497",340,4,14,9,11,4
"498",341,1,10,11,6,8
"499",341,2,8,12,2,10
"500",341,3,10,15,5,10
"501",341,4,9,13,8,9
"502",342,1,8,9,8,8
"503",342,2,9,8,9,8
"504",342,3,4,4,13,10
"505",342,4,5,6,15,12
"506",343,1,8,7,14,10
"507",343,2,7,9,11,13
"508",343,3,11,8,12,9
"509",343,4,8,8,12,12
"510",344,1,4,4,12,13
"511",344,2,8,8,10,10
"512",344,3,4,5,15,12
"513",345,1,14,14,5,5
"514",346,1,5,3,16,14
"515",346,2,4,2,18,16
"516",346,3,5,4,16,14
"517",346,4,3,5,15,16
"518",347,1,6,2,13,11
"519",347,2,4,4,10,11
"520",347,3,4,7,12,16
"521",347,4,7,2,17,10
"522",348,1,7,8,12,12
"523",348,2,3,8,12,15
"524",348,3,2,5,15,18
"525",348,4,5,6,13,15
"526",349,1,7,10,10,11
"527",349,2,7,10,10,11
"528",349,3,5,7,14,12
"529",349,4,7,13,6,10
"530",350,1,7,7,12,9
"531",350,2,10,7,13,9
"532",350,3,12,5,15,4
"533",351,1,8,10,8,6
"534",351,2,12,15,5,5
"535",351,3,11,10,6,7
"536",351,4,9,9,10,10
"537",352,1,12,12,7,6
"538",352,2,10,14,7,6
"539",352,3,3,8,12,17
"540",352,4,4,4,15,15
"541",353,1,19,14,1,0
"542",353,2,14,17,3,5
"543",353,3,10,12,7,8
"544",353,4,14,4,15,4
"545",354,1,9,10,11,8
"546",354,2,8,10,9,12
"547",354,3,9,8,12,11
"548",354,4,10,9,10,8
"549",355,1,14,11,9,6
"550",355,2,13,11,9,7
"551",355,3,17,11,10,2
"552",355,4,13,15,5,7
"553",356,1,2,5,15,13
"554",356,2,6,4,16,12
"555",356,3,12,5,15,7
"556",357,1,13,10,5,6
"557",357,2,6,9,11,12
"558",357,3,10,9,10,9
"559",357,4,5,6,14,13
"560",359,1,7,12,8,13
"561",359,2,15,11,9,5
"562",359,3,9,12,7,11
"563",359,4,11,7,14,8
"564",360,1,9,11,6,10
"565",360,2,8,9,8,10
"566",360,3,8,8,12,12
"567",360,4,10,9,11,8
"568",361,1,9,4,14,9
"569",361,2,5,10,9,12
"570",361,3,10,3,16,7
"571",361,4,9,9,7,8
"572",362,1,5,5,15,13
"573",362,2,0,0,19,19
"574",362,3,8,2,16,10
"575",362,4,8,9,11,11
"576",363,1,11,11,7,7
"577",363,2,9,13,5,6
"578",363,3,10,8,10,10
"579",363,4,5,11,7,13
"580",364,1,6,6,14,13
"581",364,2,1,3,16,18
"582",364,3,1,1,19,19
"583",364,4,2,0,21,16
"584",365,1,3,4,15,13
"585",365,2,11,6,14,9
"586",365,3,10,9,10,10
"587",365,4,3,5,15,17
"588",366,1,3,5,11,13
"589",366,2,7,8,7,6
"590",366,3,5,5,14,15
"591",366,4,7,6,14,13
"592",367,1,6,9,10,11
"593",367,2,7,5,15,12
"594",367,3,8,4,16,12
"595",367,4,12,5,15,8
"596",368,1,11,11,9,9
"597",368,2,9,8,11,11
"598",368,3,7,7,12,12
"599",368,4,13,11,10,6
"600",369,1,13,12,7,5
"601",369,2,16,7,13,4
"602",369,3,12,11,8,8
"603",369,4,13,9,11,7
"604",370,1,17,13,6,3
"605",370,2,10,12,8,8
"606",370,3,4,3,17,16
"607",371,1,8,9,12,9
"608",371,2,10,10,10,9
"609",371,3,10,13,7,10
"610",371,4,11,13,7,8
"611",372,1,6,5,16,13
"612",372,2,3,6,14,16
"613",372,3,6,6,14,13
"614",372,4,10,9,7,8
"615",373,1,5,5,13,12
"616",373,2,6,5,16,13
"617",373,3,13,5,14,7
"618",373,4,7,10,10,11
"619",401,1,3,5,15,16
"620",401,2,7,5,13,13
"621",401,3,3,3,18,16
"622",401,4,2,1,19,17
"623",402,1,9,5,15,11
"624",402,2,9,6,14,11
"625",402,3,7,10,11,12
"626",402,4,11,7,13,8
"627",403,1,3,4,15,15
"628",403,2,5,6,13,15
"629",403,3,8,7,14,11
"630",403,4,4,4,16,15
"631",404,1,9,11,9,10
"632",404,2,10,12,8,10
"633",404,3,9,12,7,10
"634",404,4,11,9,9,8
"635",405,1,7,10,6,13
"636",405,2,1,4,16,17
"637",405,3,12,11,9,8
"638",405,4,11,10,9,9
"639",406,1,10,11,8,9
"640",406,2,5,2,17,11
"641",406,3,14,17,3,6
"642",406,4,16,12,7,3
"643",407,1,2,1,14,12
"644",407,2,4,5,13,16
"645",407,3,9,10,8,10
"646",407,4,10,8,12,9
"647",408,1,11,9,10,9
"648",408,2,13,7,11,7
"649",408,3,8,10,10,12
"650",408,4,6,6,15,13
"651",409,1,11,7,14,7
"652",409,2,3,10,9,16
"653",409,3,5,9,11,14
"654",409,4,6,11,9,14
"655",410,1,10,7,13,10
"656",410,2,13,8,12,6
"657",410,3,9,13,8,10
"658",410,4,7,9,11,13
"659",411,1,9,5,16,10
"660",411,2,9,9,11,11
"661",411,3,9,8,11,11
"662",411,4,7,7,13,13
